"STATION","NAME","DATE","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-13","76","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-14","84","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-15","85","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-16","72","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-17","69","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-18","72","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-19","65","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-20","65","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-21","74","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-22","73","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-23","71","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-24","67","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-25","66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-26","72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-27","67","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-28","68","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-29","73","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-30","67","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-31","76","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-01","70","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-02","64","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-03","67","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-04","69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-05","67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-06","64","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-07","67","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-08","68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-09","70","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-10","67","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-11","76","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-12","88","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-13","94","65"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-14","70","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-15","67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-16","68","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-17","70","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-18","70","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-19","71","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-20","79","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-21","84","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-22","68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-23","77","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-24","90","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-25","94","64"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-26","77","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-27","64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-28","63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-29","64","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-09-30","62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-01","64","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-02","69","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-03","63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-04","69","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-05","75","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-06","83","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-07","83","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-08","76","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-09","65","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-10","76","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-11","78","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-12","77","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-13","62","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-14","62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-15","68","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-16","63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-17","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-18","64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-19","65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-20","68","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-21","77","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-22","81","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-23","83","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-24","87","64"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-25","86","63"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-26","72","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-27","67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-28","69","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-29","70","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-30","67","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-10-31","70","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-01","72","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-02","73","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-03","76","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-04","71","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-05","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-06","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-07","60","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-08","60","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-09","63","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-10","64","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-11","76","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-12","69","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-13","57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-14","61","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-15","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-16","68","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-17","73","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-18","74","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-19","60","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-20","66","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-21","63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-22","64","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-23","67","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-24","66","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-25","63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-26","54","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-11-27","52","45"
